Fault Time,Fault Id,Fault Action,Voltage,Current,SOC,Charge MOS,Discharge MOS,Max Voltage,Max Voltage Index,Min Voltage,Min Voltage Index,Max Temperature,Max Temperature Index,Min Temperature,Min Temperature Index,Fault Code
2026-04-07 06:09:38,实时数据,Appear,27.8V,0.3A,72.00%,ON,ON,3.988V,2,3.979V,5,28°C,1,26°C,2,fd
2026-04-07 04:09:37,实时数据,Appear,27.5V,0.3A,67.00%,ON,ON,3.933V,2,3.925V,4,28°C,1,26°C,2,fd
2026-04-07 02:09:36,实时数据,Appear,27.0V,0.3A,62.20%,ON,ON,3.867V,1,3.859V,4,27°C,1,25°C,2,fd
2026-04-06 11:20:45,实时数据,Appear,26.6V,0.3A,57.10%,ON,ON,3.807V,2,3.799V,4,23°C,2,22°C,1,fd
2026-04-06 11:09:48,保护板开机,Appear,26.5V,0.0A,57.10%,ON,ON,3.802V,2,3.795V,4,25°C,1,25°C,1,ff
2026-04-06 21:42:45,实时数据,Appear,26.6V,0.0A,57.40%,ON,ON,3.804V,2,3.796V,4,28°C,1,26°C,2,fd
2026-04-06 21:33:56,充电温度过高,Disappear,26.5V,0.0A,57.40%,ON,ON,3.802V,1,3.796V,4,29°C,1,27°C,2,67
2026-04-06 19:42:44,实时数据,Appear,26.7V,-0.4A,60.70%,ON,ON,3.821V,1,3.815V,4,31°C,1,28°C,2,fd
2026-04-06 18:14:19,充电温度过高:2Level,Disappear,26.8V,-1.6A,63.30%,ON,ON,3.834V,2,3.826V,4,39°C,1,36°C,2,67
2026-04-06 17:36:26,温差过大,Appear,27.2V,0.0A,66.50%,OFF,ON,3.896V,1,3.892V,4,43°C,1,39°C,2,6b
2026-04-06 17:42:43,实时数据,Appear,27.3V,-0.4A,69.10%,OFF,ON,3.908V,7,3.903V,4,45°C,1,43°C,2,fd
2026-04-06 17:33:12,充电温度过高:2Level,Appear,27.3V,-0.4A,69.50%,OFF,ON,3.909V,1,3.906V,6,45°C,1,43°C,2,67
2026-04-06 15:48:37,充电温度过高,Appear,27.5V,-0.4A,73.90%,ON,ON,3.938V,1,3.933V,4,35°C,1,34°C,2,67
2026-04-06 15:42:43,实时数据,Appear,27.5V,-0.4A,74.10%,ON,ON,3.940V,1,3.934V,4,34°C,1,33°C,2,fd
2026-04-06 13:42:41,保护板开机,Appear,27.6V,0.3A,74.10%,ON,ON,3.955V,2,3.946V,4,25°C,1,25°C,1,ff
2026-04-06 11:09:48,保护板关机,Appear,27.6V,0.0A,74.10%,ON,ON,3.959V,1,3.952V,4,21°C,1,18°C,2,fe
2026-04-06 11:09:16,保护板开机,Appear,27.6V,0.0A,74.10%,ON,ON,3.959V,1,3.952V,4,25°C,1,25°C,1,ff
2026-04-06 05:09:13,保护板关机,Appear,27.9V,0.0A,74.10%,ON,ON,3.991V,2,3.982V,4,21°C,1,17°C,2,fe
2026-04-06 05:08:41,保护板开机,Appear,27.9V,0.0A,74.10%,ON,ON,3.991V,2,3.982V,4,25°C,1,25°C,1,ff
2026-04-05 23:08:38,保护板关机,Appear,28.1V,0.0A,74.10%,ON,ON,4.023V,2,4.013V,4,29°C,1,25°C,2,fe
2026-04-05 21:19:53,温差过大,Appear,28.0V,-0.2A,74.60%,ON,ON,4.016V,2,4.009V,4,33°C,1,28°C,2,6b
2026-04-05 21:19:51,保护板开机,Appear,28.0V,-0.4A,74.60%,ON,ON,4.016V,2,4.009V,5,25°C,1,25°C,1,ff
2026-04-05 17:31:56,保护板关机,Appear,28.2V,0.0A,74.60%,ON,ON,4.041V,1,4.035V,4,37°C,1,34°C,2,fe
2026-04-05 16:15:48,充电温度过高,Appear,28.3V,0.3A,74.00%,ON,ON,4.048V,2,4.041V,4,34°C,1,32°C,2,67
2026-04-05 16:11:44,实时数据,Appear,28.3V,0.3A,73.80%,ON,ON,4.045V,1,4.040V,4,34°C,1,32°C,2,fd
2026-04-05 14:11:42,实时数据,Appear,27.7V,0.3A,68.10%,ON,ON,3.975V,2,3.966V,4,31°C,1,28°C,2,fd
2026-04-05 12:11:41,保护板开机,Appear,28.0V,-0.2A,71.80%,ON,ON,4.013V,1,4.006V,4,25°C,1,25°C,1,ff
2026-04-05 07:17:18,保护板关机,Appear,28.2V,0.0A,71.80%,ON,ON,4.042V,2,4.035V,4,20°C,1,16°C,2,fe
2026-04-05 07:16:46,保护板开机,Appear,28.2V,0.0A,71.80%,ON,ON,4.042V,2,4.034V,4,25°C,1,25°C,1,ff
2026-04-05 01:16:42,保护板关机,Appear,28.4V,0.0A,71.80%,ON,ON,4.064V,1,4.057V,4,24°C,1,21°C,2,fe
2026-04-05 00:30:55,实时数据,Appear,28.3V,0.0A,71.90%,ON,ON,4.060V,1,4.053V,4,26°C,1,22°C,2,fd
2026-04-04 23:32:51,--,Appear,28.3V,0.0A,72.10%,ON,ON,4.053V,2,4.044V,4,26°C,1,23°C,2,b2
2026-04-04 22:31:34,温差过大,Appear,28.2V,0.0A,72.20%,ON,ON,4.038V,2,4.031V,4,28°C,1,23°C,2,6b
2026-04-04 22:30:54,保护板开机,Appear,28.2V,0.0A,72.20%,ON,ON,4.037V,2,4.031V,4,25°C,1,25°C,1,ff
2026-04-04 22:23:44,保护板关机,Appear,28.2V,0.0A,72.20%,ON,ON,4.035V,2,4.028V,4,28°C,1,24°C,2,fe
2026-04-04 22:15:44,实时数据,Appear,28.2V,0.0A,72.30%,ON,ON,4.037V,2,4.029V,4,28°C,1,24°C,2,fd
2026-04-04 21:34:41,充电温度过高,Disappear,28.2V,0.0A,72.40%,ON,ON,4.041V,2,4.034V,4,30°C,1,26°C,2,67
2026-04-04 20:15:43,实时数据,Appear,28.1V,0.3A,71.40%,ON,ON,4.023V,2,4.013V,4,33°C,1,28°C,2,fd
2026-04-04 19:06:24,温差过大,Appear,27.7V,-0.4A,69.20%,ON,ON,3.972V,2,3.965V,4,36°C,1,31°C,2,6b
2026-04-04 18:15:42,实时数据,Appear,28.1V,0.3A,72.60%,ON,ON,4.026V,1,4.020V,4,37°C,1,34°C,2,fd
2026-04-04 16:15:42,实时数据,Appear,28.3V,-0.4A,75.70%,ON,ON,4.045V,1,4.040V,4,35°C,1,33°C,2,fd
2026-04-04 16:13:35,充电温度过高,Appear,28.3V,-0.4A,75.80%,ON,ON,4.047V,2,4.041V,4,35°C,1,33°C,2,67
2026-04-04 14:15:40,实时数据,Appear,28.0V,0.3A,74.20%,ON,ON,4.013V,2,4.006V,4,29°C,1,28°C,2,fd
2026-04-04 12:15:39,保护板开机,Appear,28.2V,-0.2A,76.10%,ON,ON,4.041V,2,4.032V,4,25°C,1,25°C,1,ff
2026-04-04 10:10:57,保护板关机,Appear,28.3V,0.0A,76.10%,ON,ON,4.051V,1,4.044V,4,18°C,1,16°C,2,fe
2026-04-04 10:10:25,保护板开机,Appear,28.3V,0.0A,76.10%,ON,ON,4.051V,1,4.044V,4,25°C,1,25°C,1,ff
2026-04-04 04:10:21,保护板关机,Appear,28.4V,0.0A,76.10%,ON,ON,4.075V,1,4.064V,4,20°C,1,16°C,2,fe
2026-04-04 03:27:34,实时数据,Appear,28.5V,0.0A,76.20%,ON,ON,4.079V,1,4.070V,4,21°C,1,18°C,2,fd
2026-04-04 01:27:32,实时数据,Appear,28.4V,0.0A,74.80%,ON,ON,4.075V,1,4.067V,4,22°C,1,18°C,2,fd
2026-04-03 23:27:31,保护板开机,Appear,28.0V,0.3A,66.50%,ON,ON,4.006V,2,4.000V,4,25°C,1,25°C,1,ff
2026-04-03 22:52:01,保护板关机,Appear,28.0V,0.0A,66.50%,ON,ON,4.004V,2,3.999V,5,23°C,1,20°C,2,fe
2026-04-03 22:10:26,实时数据,Appear,28.0V,0.0A,66.60%,ON,ON,4.009V,1,4.001V,4,25°C,1,21°C,2,fd
2026-04-03 20:10:24,实时数据,Appear,27.7V,0.3A,59.20%,ON,ON,3.966V,1,3.959V,4,28°C,1,24°C,2,fd
2026-04-03 18:51:55,温差过大,Appear,27.4V,0.3A,53.70%,ON,ON,3.930V,1,3.921V,4,31°C,1,26°C,2,6b
2026-04-03 18:10:23,保护板开机,Appear,27.6V,-0.4A,56.60%,ON,ON,3.958V,1,3.952V,4,25°C,1,25°C,1,ff
2026-04-03 16:21:56,保护板关机,Appear,27.7V,0.0A,56.60%,ON,ON,3.969V,2,3.962V,4,31°C,1,29°C,2,fe
2026-04-03 16:21:25,保护板开机,Appear,27.7V,0.0A,56.60%,ON,ON,3.969V,2,3.962V,4,25°C,1,25°C,1,ff
2026-04-03 10:21:21,保护板关机,Appear,27.9V,0.0A,56.60%,ON,ON,4.003V,2,3.996V,4,21°C,1,18°C,2,fe
2026-04-03 09:54:07,实时数据,Appear,28.0V,0.0A,56.60%,ON,ON,4.003V,1,3.999V,4,21°C,1,18°C,2,fd
2026-04-03 09:50:06,--,Appear,28.0V,0.0A,56.60%,ON,ON,4.004V,2,3.999V,4,21°C,1,18°C,2,b2
2026-04-03 07:54:05,实时数据,Appear,27.7V,0.3A,51.80%,ON,ON,3.966V,1,3.958V,4,19°C,1,16°C,2,fd
2026-04-03 05:54:04,实时数据,Appear,27.4V,0.3A,46.40%,ON,ON,3.924V,1,3.914V,4,20°C,1,16°C,2,fd
2026-04-03 03:54:03,实时数据,Appear,27.1V,0.3A,41.00%,ON,ON,3.884V,1,3.873V,4,20°C,1,17°C,2,fd
